NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001033960;2019;2;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;504;507;511;516;490;554.5;547.4;493.5;EEDAEEBECDBDDDDBCDEEABDDDBCDABBBDDCBCBDDAACAD;AEECABAEBBDCBADEECCECACEBDEDBABBEBEBECDEDABEB;ABAAD99999ECBAADCBBCDAAECDEECDCCACDEBAADCDDCEECCBE;BDAEADCBECCCAECCADBBACABDECAEACAEAEBCEEDDEEAC;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;160;200;160;140;40;700;E;E;B;B;3;B;A;B;C;A;B;B;A;B;A;A;A;A;B;B;A;B;A;A;A
190001033963;2019;3;M;1;3;1;2;0;2;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;446.1;542.5;494;479.5;ACEBCCADCCBACCBCBAEEAAAAEBDAABCEABDAEBCDDBCBB;DEACACCECBABEBBAAAEDBEECCCAADACDBDCBDEDBABBDC;99999BAADCCACCBEDACBAADDBADBAEDCDADBAAEAEEAEEBCBCB;EDCEDDDCBDCEDDEBEEAAAEBEBADCDABCBECAACDCDACED;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;160;180;160;200;120;820;E;E;C;B;5;C;A;B;C;A;B;B;B;B;B;B;B;A;B;A;A;E;A;B;B
190001040850;2019;6;F;1;3;1;1;3;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;505;508;512;518;337.3;448.8;458.7;436.1;DCACADCBBEEACDBDBCDEACECCAEACDECDDCCADEECCCED;BBAABBBACDDECDCBBDECCABDECAABDEEDECADEBECEDAC;DCAEA99999CEDBEEECEDCBABDABAADAABEDDAEDDEADDCDCEEA;AEADAAEEBDADACADCECAACABACEDEDADCCEDECEABDAAC;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;40;40;120;20;340;C;G;A;D;3;F;A;B;C;A;C;B;A;A;A;B;A;A;B;B;A;D;A;B;A
190001040884;2019;9;F;1;3;1;1;6;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;E;C;B;6;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B
190001040892;2019;9;F;1;3;1;1;4;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;505;508;512;518;528.5;440.7;495.7;394.3;EABBDEBDCDDCBAAECEBBDBAACDBEADDBDAACEADEDCAAC;DBDCADBEBADBABEADBBCBBEBDBEBACBEBCAEEACDBAEAA;DDEED99999CBDDEEAEADECEDCBDABDDABBADADBBEBDADAABBD;ECBCBDEABEEAEABAEAABDADBDCACEDEADEADCBBEDADEC;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;80;120;100;100;40;440;H;F;F;C;9;B;A;B;D;A;B;B;A;A;A;A;A;A;B;B;A;C;A;B;A
190001042416;2019;4;M;1;2;1;1;1;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;455;505.7;467.8;460.1;BBBDECAEBCBDDDCCCEEAACDBACBEDCBAACEECCADBCADB;CCAACBBACBABABBDBAEBBEEABCBDCBADACBEEBDDCBABB;99999CBCADBDDCCDCDEBAEEDBEDBBCCCAAEEBACACECCDBBBAD;AAABDBDCCCCECDECEDCCBDCEECEDBCCCCCDAEECCDCBCD;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;120;100;120;0;460;E;E;B;B;8;C;A;B;D;A;B;B;A;B;A;A;A;A;B;A;A;C;A;B;A
190001029244;2019;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;504;507;511;516;509.5;541.3;557.9;446;CBBAEBAEDCBBECDEEEAAEBAEDBCBBAABBEECEDDADDBDD;ECACAAAEEBDDBAEEEDCAEACEEDDCBABCABDEBCBEEAEEB;DDABE99999BCBACDDAACDAAECCEEEEBAEABEEBEAADADECBABE;EAADEACCDEBCAADBBADBCAACDDBEAACCEBEECBEDDEBDB;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;120;120;80;560;C;D;C;A;6;B;A;B;E;A;A;B;A;B;A;A;A;A;B;B;A;E;A;A;B
190001035322;2019;14;F;0;3;1;1;13;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;505;509;514;518;419.4;444.9;455.7;409.9;BEDCACEBDBAECCBABEECDBADCBDDAEBEDECABCBCEBCED;DBAECECDEDAEBADEDCCBBCDBABDEDCEDAAADCCDBCCABA;CDBAB99999CCBCCDCACDDCBEBBEEAEBBDCAEDCAAEBCCEBABCC;BACCBACDADEBCDCEBACADBBCDCCADDAABBBDAECCEDBDE;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;100;120;80;100;60;460;C;C;B;B;3;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;A;A
190001036697;2019;4;F;1;3;1;1;3;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;1;1;0;;508;512;;;417.4;558.9;;;ABAECDDEABBDABADBADCECBCDDAEBCACBEECABCDDBAEC;99999BEEAACBABEEAEBCECAAEBDEECCAEBDABDBEECDCCAABCE;;1;;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;;3;0;0;0;0;0;0;C;B;C;A;4;B;A;B;C;A;A;B;A;B;A;A;A;A;C;A;A;D;A;A;B
190001042483;2019;13;F;1;3;1;1;13;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;C;B;2;C;A;B;C;A;A;B;A;B;A;A;A;A;B;B;A;B;A;B;A
190001029305;2019;11;M;1;3;1;1;4;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;F;B;4;B;A;B;C;A;B;B;A;B;A;B;A;A;B;B;A;B;A;B;B
190001030511;2019;13;F;1;3;1;1;13;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;B;A;A;7;B;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A
190001035379;2019;3;M;1;5;1;1;1;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;438.9;499.9;563.5;607.8;EDCBBDDDCBBBCDDECBECBDABEBBEACCCBEBDBECDCAABB;ACDDDEBDBCCCEAEDEDAAABABCDBABEAEBDCBDEDBDDEBC;99999CACEABAEDCAECEADAADBBECEEACDEADCDCCBECECCAEAB;ECBDDAABADBBBDCACEEBDDACCACEACBEEBBAEAABDAADB;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;140;120;140;120;640;E;C;C;B;5;C;A;C;C;A;C;A;A;B;A;A;A;A;B;B;A;D;A;A;A
190001035389;2019;13;M;1;3;1;1;13;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;505;509;514;518;450.1;508;397.3;436.9;ADACDEDDBBADADAAABAADADDACBEDAEEBAAAAADAAABAB;AEABAEAAABADAABAAACEDCCBAAAABACAABCACAAAAAAAA;99999DCCECBDADCCAABDACCEAAABCCDEABAAABCAABCCDAAAAA;AACAACEEADDACCCABAABBAACABBBCACABEADBDBAADABD;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;40;40;120;0;320;A;C;A;A;3;C;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;B;A
190001036739;2019;15;F;1;3;1;1;13;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;503;510;513;515;413.2;369.4;503.2;447.3;CACBCEEDDEDCADACDDBCCDDAAAAEDBAABDABAEDCCCBED;AAADDCEEEAAAAAAAEEACACAEEEBCCECAEEEBBEAADBCDE;99999EEEEDCACABCEAEECBDADAAABEDBDEDEDEAEBDCEBDEAEE;CBADDCDCDBCAAAADCCDEBADDACCCBEABEBCEEDEBB*BBB;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;120;120;120;0;480;B;B;A;A;3;C;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;B;A
