NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210060811461;2023;2;M;0;3;1;2;0;2;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;1221;1193;1204;1211;578.2;631.4;568;467.9;DBEEBECACCAEBDBCBBADCEDADCCEDBAEABCDDCCDACCAB;ACDBACADBCDAADEABCDABCDCEBCBAAAEBDDAABADACDAE;ABABCABACBCDEAAACADBADECABAEAAECAEBBBEEBABAED;BBACDBBCBADBDBDCCEADAACCEDDDDCCACECEBADDBECCD;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;80;120;100;100;40;440;E;E;D;F;6;G;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;B;A;B;B
210059442398;2023;1;F;0;3;1;3;0;1;;1;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;507.7;429.9;535.6;494.6;CDBAEDABCDDABEACABAABCABEDCEBDACEEACCBADBDBBB;DBDEAEEADDBACEACADCDEAAEDDBCABCDCABCBECCADADE;CEBCAAAEBCBEAACABBAEAEDBACDAEBCDDBADBEEDDEBCD;EEDEEAABEADBBDAECACDBEBBEEABBDDCBCEDACBDCDBCE;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;120;120;120;80;560;E;E;D;F;6;H;A;C;D;B;B;B;A;A;A;A;A;A;C;A;A;D;A;B;B
210060503436;2023;13;M;1;3;1;1;17;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;B;F;B;2;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;D;A;A;B
210061472788;2023;11;M;1;3;1;1;12;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;F;F;D;D;6;D;A;C;D;A;B;B;A;B;A;B;A;A;C;A;A;E;A;A;B
210061348841;2023;11;M;1;3;1;1;0;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;H;E;F;F;4;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B
210058632562;2023;4;F;1;3;1;1;0;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;464.9;391.6;454.8;351.9;CDBCAACECADBAADEABCACBBDEBCADADACBAECBAABADBB;CADADCBBECBABCDACBCADDCCBDDEDEDEBBBABCDAABADA;CBBBDEADADBEACCBCCBCDAECCDBBDDCBBCDBAAEBDABCA;CBBCCDDEDCDBADCBCDBCCCABCCDADCBACBDABBDCACBCD;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;40;40;120;40;360;B;E;B;A;7;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
210060366194;2023;3;F;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;1223;1194;1203;1213;404.9;454.9;414.4;367.9;AABCEAADEDEBDAEBEEABBECDCCAADCCBADEECBDCBDADB;ABEDCEABEAECAEBCADECEADCDABAEDABEDCEBADCAEBDC;DBBADCACECCECEABDBECBDADABACEACDEAEBCACDBEEBC;CEEAEAEDACDCEDBECEAEDBBBEDBDEBDDECAABACADAEEB;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;100;80;60;100;0;340;C;E;C;B;8;B;A;B;C;A;A;B;A;B;A;A;A;A;A;A;A;B;A;A;B
210060214169;2023;11;F;1;3;1;1;9;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;A;A;2;B;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
210058514888;2023;5;F;1;3;1;1;4;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;D;B;B;11;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;B;A;A;B
210060666761;2023;3;F;1;3;1;1;1;1;;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;1222;1191;1201;1212;453.5;420.5;515.3;363.3;CADACDBDEABCADECAEBBECAADCADBEABDBAEECACDBCAE;EDBABACDCABECDDABDCDABCEECBCEBDBEAADBAECDDECB;ACEACCECAEDCACBBDCDDBDEAEABCBACEAEACEAAEBDAAE;CBDEBEACBADECBADCEBADCBEACDBCAACEBDBDCEAADBCA;1;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;80;560;C;E;F;A;4;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
