Unnamed: 0,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
1492070,190002018361,2019,1,M,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,504.0,507.0,511.0,516.0,415.0,442.6,369.3,467.2,CAADEEBEAABACECBCEADBBACECBDABBDBCADCBAADEABC,ECBEAADAEACCECADEBCEDBDEADCAEDCCCBAAEEDAEBCAE,ACBDE99999EDABEDAABECECBBCEBECBCCBCDEBDEACBBACAEBD,ACBBADBEDAAEACDEBCDAAACBEDABCCCEEABDCBBDEABCC,0,BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD,1.0,120.0,120.0,140.0,180.0,0.0,560.0,G,F,B,B,3,E,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,D,A,B,A
1501488,190001980360,2019,4,M,1,5,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,503.0,510.0,513.0,515.0,468.7,534.5,524.0,502.3,DEEDBCADADCDEDBCBEECEAEDEEBEADBEDDBBBBBDEBCCC,EEBCCEDECBCADBACEBDEADACCABEEBDADBCCAADABADCB,ABBCE99999BBDEADEACECADDAEAAEADDBEECCEBDBCEBCDDACB,EEAEDCCCEBBD.BEBCDBDDBBCBBCECEBCEBEACCCAADBAC,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,120.0,120.0,120.0,120.0,100.0,580.0,E,C,C,F,10,D,A,B,D,A,D,B,A,B,A,A,A,A,D,A,B,E,A,A,B
1502918,190001983804,2019,3,M,1,3,2,2,0,2,,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,503.0,510.0,513.0,515.0,410.4,448.0,489.5,540.5,DEDDBCDDCDDCDCAAABABBEABDBCEDAABADCEAAAEDDCBB,AECCABDDAACDAADCBADCCCEAAAACDCACBAECADDBDBAEE,CEDBC99999CBECCAADBEBADBAAAACEDCDBDCBCAEBCCECAACDA,ECBEDCCCADCAEDABDEBACBBDAECEBABDCDCACBEDABDCA,0,AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA,1.0,100.0,120.0,100.0,120.0,60.0,500.0,C,D,B,B,9,C,A,C,E,A,B,B,A,B,A,A,A,A,C,B,B,E,A,A,B
1503918,190001983525,2019,9,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,510.0,513.0,517.0,474.5,463.6,524.7,441.7,DDCAEBDDDCACBCEBCCBEDCAADEAECEDBDBABCEBBCEBDD,ABACAECDBBADABACBBABBEEABCAACBBCEBBABBAAABDBE,ADBDD99999EADCBBCAEECEDDBEAECCBDEEDDDDEABCBBCDCEEC,CADBCAAABEBBADACAADCBAACDADECCCECDEACDEEACCCA,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB,ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,120.0,120.0,120.0,140.0,80.0,580.0,H,E,F,B,1,B,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A
1507995,190002004321,2019,3,M,1,0,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,508.0,512.0,518.0,501.1,500.7,468.0,567.3,EDDABCCDBCDEDEDADEBEDECBEBCBACBCBDEDBADADBDCE,DCABBCBDBADBBCCAACBCEDACABCDABCCDCDDCAEADADAD,BAADD99999AEADEEEECCBDEBCEDEECEDDACCBCBAEECDCACDDA,DBCBACCDCEBDCCAEDBDBACEBECBBCEAEBCDCAEBDCBDEB,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,140.0,120.0,120.0,140.0,0.0,520.0,E,E,C,A,5,B,A,B,B,A,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B
1509478,190001990248,2019,3,F,1,0,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,506.0,507.0,511.0,517.0,424.4,554.7,560.9,403.9,DDEABBDDEEAAEDCBCEBCEBCCDBCCECCEAEACBABDEECCE,ACBDDBAADADCECECECCCCCBEBDBDCDECAEDBABBEECEDB,BDABE99999DCBACDDEECDAAECADBBEDCEEBBDBCADDDAECECCE,CEBAEAEAEAEEBDDCEBDDBCEBEDACABBBADEBEDECAACBE,0,DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC,BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB,BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB,AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA,1.0,80.0,120.0,120.0,120.0,20.0,460.0,C,C,D,A,5,B,A,C,D,A,B,B,A,A,A,A,A,A,B,A,A,D,A,A,B
1510042,190001990268,2019,16,F,1,3,1,2,0,2,,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,509.0,514.0,518.0,422.0,453.9,407.1,490.0,AEABBDADEEDDDACCAEDACDEDDDDBCDBBDAEDDBEDEDCDC,DBAECAADAAADEEAABAEECECBDCEEBECCADCCDBDCABADD,99999CDECEEDCEBEEBAEEAECEEDDABCBBBCEEDDCCCEACBDBEE,AAECAEDCCEEBEEECEAACBCCAAEEEDADCEABECCAEABDDD,1,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,80.0,120.0,120.0,80.0,60.0,460.0,B,B,A,A,3,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A
1512920,190002011101,2019,3,F,1,1,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,508.0,512.0,518.0,388.8,351.3,450.0,416.6,BBCCDEBCCDCECAEBAADBBBBCEDEDBABDEEEEDABDDECAB,EECCACABCBDBEDDEAABADADDDCDCCBECCEECECACDEDDE,CCCAD99999AEDCDECEEEECEBDDADACCDEBEBCECAECBEDBDCBD,BBDECBBBBCCBEDEEEBEADDACBBBCCCCACADCBBCDEDCCD,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,3.0,0.0,0.0,0.0,0.0,0.0,0.0,H,D,F,F,4,B,A,B,C,A,B,B,A,B,B,B,A,A,B,B,A,E,A,A,B
1518487,190001993757,2019,2,M,4,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,509.0,514.0,518.0,421.7,415.6,405.7,415.0,EBAAECCAABCCDDCAABABAABACDCCDEDBDCACEADABACDD,ACBBCAACACDACBAAADBCEDEEAECABCEAEEAEDBDDBACED,CDEAB99999BDAABEBCEABCAECCACEBEDBACBDACABCCEDAECEE,EDDCACCEBAEAABBEDBAACCAAAACEBCAAEEDBBEABBDDEC,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB,EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,100.0,100.0,80.0,80.0,40.0,400.0,E,E,F,B,3,B,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,B,A,A,A
1521248,190001973020,2019,2,F,1,3,1,2,0,2,1.0,0,1301902,Itacoatiara,13,AM,2,1,1,1301902,Itacoatiara,13,AM,1,1,1,1,505.0,508.0,512.0,518.0,422.7,463.4,497.0,466.4,CACBCDBDEBAEDEC.BBCEBADDBADEBDEBDCECDDBAEDACA,CBAABBADAACADDBBADDEBDBADBDECAADBCACDBCADDBBE,BBABD99999CCDADEECBABCDBCCAEBDBCDDEAADCBEBECCACDEB,DBCDABECBCEADCABAEBAEAEADBCBEDBDCBADBCCEBDCDA,0,DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE,CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC,BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD,DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB,1.0,120.0,100.0,120.0,120.0,0.0,460.0,C,B,A,B,8,E,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,D,A,A,B
